"","x1_age","x2_job","x3_marital","x4_education","x5_default","x6_housing","x7_loan","x8_contact","x9_month","x10_weekday","x11_duration","x12_campaign","x13_pdays","x14_previous","x15_poutcome","x16_empvar.rate","x17_consprice.idx","x18_consconf.idx","x19_euribor3m","x20_nr.employed","y_subscribe"
"1",30,"blue-collar","single","basic.9y","unknown","no","no","telephone","jun","fri",10,8,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
"2",49,"admin.","divorced","basic.9y","no","yes","no","telephone","may","thu",312,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
"3",36,"blue-collar","single","high.school","no","yes","no","telephone","jun","wed",835,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,1
"4",27,"technician","single","professional.course","no","no","no","cellular","may","thu",311,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
"5",24,"student","single","high.school","no","yes","no","telephone","aug","fri",359,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.825,5076.2,0
"6",35,"blue-collar","single","high.school","no","yes","no","cellular","may","wed",49,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
"7",35,"blue-collar","divorced","high.school","no","no","no","cellular","aug","thu",151,1,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,1
"8",35,"admin.","married","high.school","unknown","no","no","telephone","jul","fri",189,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"9",49,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",27,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"10",50,"housemaid","married","basic.4y","no","no","yes","cellular","jul","wed",462,1,4,1,"success",-1.7,94.215,-40.3,0.896,4991.6,1
"11",42,"services","married","high.school","no","yes","no","telephone","jun","fri",174,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
"12",37,"technician","single","professional.course","no","yes","no","cellular","aug","wed",144,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
"13",51,"admin.","divorced","professional.course","no","no","yes","cellular","apr","mon",583,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.466,5099.1,0
"14",37,"technician","married","university.degree","no","yes","no","cellular","aug","mon",121,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
"15",29,"admin.","single","university.degree","no","yes","no","cellular","jul","thu",281,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
"16",72,"admin.","married","university.degree","unknown","no","yes","cellular","oct","tue",143,1,6,1,"success",-3.4,92.431,-26.9,0.728,5017.5,1
"17",55,"admin.","divorced","university.degree","no","no","no","cellular","apr","thu",260,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
